Name,Position,Contract Expiring,Current Team and League,Value,Agent,Primary Nationality,Secondary Nationality,,,,,,,,,,,,,,,,
Jeffrey Schlupp,Left Midfield,"Dec 23, 1992 (29)","Crystal Palace
 Premier League",€8.00m,Unique Sports Group,Ghana,Germany,,,,,,,,,,,,,,,,"@                  
        
        
"
Djibril Sidibé,Right-Back,"Jul 29, 1992 (29)","Monaco
 Ligue 1",€8.00m,,France,Mali,,,,,,,,,,,,,,,,"@                 
        
        
"
Connor Goldson,Centre-Back,"Dec 18, 1992 (29)","Rangers
 Premiership",€8.00m,Wasserman,England,,,,,,,,,,,,,,,,,"@                 
        
        
"
Jack Stephens,"
            Centre-Back","Jan 27, 1994 (28)","Southampton
 Premier League",€8.00m,ICM Stellar Sports,England,,,,,,,,,,,,,,,,,
Isco                 ,Attacking Midfield,"Apr 21, 1992 (29)","Real Madrid
 LaLiga",€7.50m,Relatives,Spain,,,,,,,,,,,,,,,,,
Niklas Stark,"
            Centre-Back","Apr 14, 1995 (26)","Hertha BSC
 Bundesliga",€7.50m,Sports360 GmbH,Germany,,,,,,,,,,,,,,,,,
Marcel Halstenberg,"
            Left-Back","Sep 27, 1991 (30)","RB Leipzig
 Bundesliga",€7.00m,TrueSports GmbH,Germany,,,,,,,,,,,,,,,,,
Pascal Groß,Central Midfield,"Jun 15, 1991 (30)","Brighton
 Premier League",€7.00m,TDS SPORTS,Germany,,,,,,,,,,,,,,,,,
Sergi Roberto,"
            Central Midfield","Feb 7, 1992 (30)","Barcelona
 LaLiga",€7.00m,TACTIC GRUP - OROBITG,Spain,,,,,,,,,,,,,,,,,
Filip Djuricic,"
            Attacking Midfield","Jan 30, 1992 (30)","Sassuolo
 Serie A",€7.00m,Excellence Sport,Serbia,,,,,,,,,,,,,,,,,
Fabian Schär,"
            Centre-Back","Dec 20, 1991 (30)","Newcastle
 Premier League",€7.00m,Sports360 GmbH,Switzerland,,,,,,,,,,,,,,,,,
Felipe,Centre-Back,"May 16, 1989 (32)","Atlético Madrid
 LaLiga",€7.00m,Bertolucci Sports,Brazil,,,,,,,,,,,,,,,,,
Jed Wallace,Right Winger,"Mar 26, 1994 (28)","Millwall
 Championship",€7.00m,,England,,,,,,,,,,,,,,,,,
Daniel Amartey,"
            Centre-Back","Dec 21, 1994 (27)","Leicester
 Premier League",€7.00m,Pini Zahavi,Ghana,,,,,,,,,,,,,,,,,
Thomas Strakosha,"
            Goalkeeper","Mar 19, 1995 (27)","Lazio
 Serie A",€7.00m,Relatives,Albania,Greece,,,,,,,,,,,,,,,,
Amos Pieper,Centre-Back,"Jan 17, 1998 (24)","Arm. Bielefeld
 Bundesliga",€7.00m,Sports360 GmbH,Germany,,,,,,,,,,,,,,,,,
